allele	start	end
A*	29910331	29910403
A*	29910534	29910803
A*	29911045	29911320
A*	29911899	29912174
A*	29912277	29912393
A*	29912836	29912868
A*	29913011	29913058
A*	1		1
A*	29913059	29913062
B*	31324935	31324863
B*	31324734	31324465
B*	31324219	31323944
B*	31323369	31323094
B*	31323000	31322884
B*	31322442	31322410
B*	31322303	31322260
C*	31239848	31239776
C*	31239645	31239376
C*	31239125	31238850
C*	31238262	31237987
C*	31237862	31237743
C*	31237302	31237270
C*	31237162	31237115
C*	1	5
DPA1*	33041347	33041248
DPA1*	33037663	33037418
DPA1*	33037077	33036796
DPA1*	33036581	33036427
DPB1*	33043819	33043918
DPB1*	33048449	33048712
DPB1*	33052727	33053008
DPB1*	33053556	33053666
DPB1*	33053996	33054015
DQA1*	32605236	32605317
DQA1*	32609087	32609335
DQA1*	32609749	32610030
DQA1*	32610387	32610541
DQB1*	32634384	32634276
DQB1*	32632844	32632575
DQB1*	32630025	32629744
DQB1*	32629234	32629123
DQB1*	1	13
DRB1*	32557519	32557420
DRB1*	32552155	32551886
DRB1*	32549615	32549334
DRB1*	32548633	32548523
DRB1*	32521176	32521152
DRB1*	1	13

