locus	start	end	length	
A	29909037	29913661	4624
B	31321649	31324965	3316
C	31236526	31239907	3381
DQA1	32595956	32614839	18883
DQB1	32627244	32636160	8916
DPA1	33032346	33048552	16206
DPB1	33043703	33054978	11275
DRB1	32546546	32557625	11079
DRB2	32456257	32470744	XX
DRB3 	32417557	32430644	XX
DRB4	32542662	32557610	XX
DRB5	32485120	32498064	XX
DRB6	32520490	32527799	XX
DRB7 	32594077	32613256	XX
DRB8    32556190	32558727	XX
DRB9    32427598	32441277	XX
DRA	32407619	32412823 	XX
